iter	Passed	Remaining
415	2910	10985
416	2919	10985
417	2926	10976
418	2932	10966
419	2938	10956
420	2946	10951
421	2952	10942
422	2959	10934
423	2965	10926
424	2973	10922
425	2980	10915
426	2987	10907
427	2993	10897
428	3000	10889
429	3006	10880
430	3013	10870
431	3020	10864
432	3027	10858
433	3034	10851
434	3041	10844
435	3047	10835
436	3054	10826
437	3060	10815
438	3065	10802
439	3072	10795
440	3079	10787
441	3086	10781
442	3093	10773
443	3099	10763
444	3107	10761
445	3114	10754
446	3120	10744
447	3127	10736
448	3135	10733
449	3141	10721
450	3147	10712
451	3154	10704
452	3160	10694
453	3168	10690
454	3175	10683
455	3181	10675
456	3188	10669
457	3195	10661
458	3201	10652
459	3207	10641
460	3215	10636
461	3221	10627
462	3227	10616
463	3235	10612
464	3241	10604
465	3248	10596
466	3254	10584
467	3261	10577
468	3268	10572
469	3275	10563
470	3281	10556
471	3288	10547
472	3295	10540
473	3301	10531
474	3308	10523
475	3314	10515
476	3321	10507
477	3328	10500
478	3334	10491
479	3342	10488
480	3349	10479
481	3355	10471
482	3362	10463
483	3370	10458
484	3378	10454
485	3384	10447
486	3391	10440
487	3399	10435
488	3405	10424
489	3411	10416
490	3419	10411
491	3426	10403
492	3432	10394
493	3439	10387
494	3446	10380
495	3453	10374
496	3459	10365
497	3466	10357
498	3472	10347
499	3479	10341
500	3486	10334
501	3494	10329
502	3500	10320
503	3506	10311
504	3513	10303
505	3520	10298
506	3527	10288
507	3533	10279
508	3539	10271
509	3546	10265
510	3553	10256
511	3559	10248
512	3566	10241
513	3574	10235
514	3581	10229
515	3588	10222
516	3595	10217
517	3602	10209
518	3609	10201
519	3614	10190
520	3621	10184
521	3628	10176
522	3635	10169
523	3643	10165
524	3649	10155
525	3656	10148
526	3662	10140
527	3669	10132
528	3676	10126
529	3684	10121
530	3691	10116
531	3698	10108
532	3705	10101
533	3712	10094
534	3718	10084
535	3724	10075
536	3732	10070
537	3739	10065
538	3746	10058
539	3754	10052
540	3762	10049
541	3769	10041
542	3777	10038
543	3783	10029
544	3790	10023
545	3796	10012
546	3802	10004
547	3810	9999
548	3817	9993
549	3825	9987
550	3831	9978
551	3836	9967
552	3842	9957
553	3849	9949
554	3856	9943
555	3864	9939
556	3872	9935
557	3881	9933
558	3888	9927
559	3894	9918
560	3901	9909
561	3907	9901
562	3914	9893
563	3921	9887
564	3928	9881
565	3936	9876
566	3944	9870
567	3951	9865
568	3959	9861
569	3966	9854
570	3975	9850
571	3985	9852
572	3995	9853
573	4007	9859
574	4018	9859
575	4025	9855
576	4035	9854
577	4045	9855
578	4059	9863
579	4070	9866
580	4078	9863
581	4087	9861
582	4100	9869
583	4122	9895
584	4131	9894
585	4141	9894
586	4152	9895
587	4160	9892
588	4171	9893
589	4180	9890
590	4189	9888
591	4200	9891
592	4209	9887
593	4218	9885
594	4229	9887
595	4239	9888
596	4249	9886
597	4258	9883
598	4266	9879
599	4275	9876
600	4285	9875
601	4293	9871
602	4302	9868
603	4309	9861
604	4318	9857
605	4326	9851
606	4335	9849
607	4342	9841
608	4351	9839
609	4359	9834
610	4368	9831
611	4376	9826
612	4385	9821
613	4392	9814
614	4400	9809
615	4407	9803
616	4415	9796
617	4422	9789
618	4429	9781
619	4437	9776
620	4443	9767
621	4451	9760
622	4457	9752
623	4465	9747
624	4472	9739
625	4480	9733
626	4489	9731
627	4502	9736
628	4511	9732
629	4518	9725
630	4525	9718
631	4532	9710
632	4539	9702
633	4546	9696
634	4555	9692
635	4562	9685
636	4571	9680
637	4579	9674
638	4586	9669
639	4594	9662
640	4602	9656
641	4608	9648
642	4615	9640
643	4623	9633
644	4629	9625
645	4636	9617
646	4643	9609
647	4650	9601
648	4656	9593
649	4663	9585
650	4669	9575
651	4676	9568
652	4684	9563
653	4691	9554
654	4698	9548
655	4705	9540
656	4714	9536
657	4720	9526
658	4727	9520
659	4734	9511
660	4740	9503
661	4747	9494
662	4753	9486
663	4761	9479
664	4768	9472
665	4776	9466
666	4784	9460
667	4791	9452
668	4798	9446
669	4806	9439
670	4812	9432
671	4820	9426
672	4828	9420
673	4835	9411
674	4842	9405
675	4850	9399
676	4857	9392
677	4866	9388
678	4872	9379
679	4880	9373
680	4887	9365
681	4894	9358
682	4901	9350
683	4907	9341
684	4913	9332
685	4920	9325
686	4927	9317
687	4933	9308
688	4941	9301
689	4948	9294
690	4955	9287
691	4962	9278
692	4970	9273
693	4978	9269
694	4985	9260
695	4994	9256
696	5001	9248
697	5008	9242
698	5015	9234
699	5022	9227
700	5030	9221
701	5037	9214
702	5046	9210
703	5054	9203
704	5063	9199
705	5070	9192
706	5078	9186
707	5085	9180
708	5092	9171
709	5099	9165
710	5107	9158
711	5114	9152
712	5121	9143
713	5127	9134
714	5134	9127
715	5141	9119
716	5148	9111
717	5155	9104
718	5173	9117
719	5181	9110
720	5189	9105
721	5197	9099
722	5206	9094
723	5213	9087
724	5221	9081
725	5228	9073
726	5235	9066
727	5242	9058
728	5249	9051
729	5256	9044
730	5263	9037
731	5271	9030
732	5279	9025
733	5287	9019
734	5294	9011
735	5301	9004
736	5308	8997
737	5316	8991
738	5325	8985
739	5332	8978
740	5339	8971
741	5345	8962
742	5352	8954
743	5360	8948
744	5367	8941
745	5373	8932
746	5380	8924
747	5388	8917
748	5395	8910
749	5402	8902
750	5408	8894
751	5416	8888
752	5423	8881
753	5429	8872
754	5436	8863
755	5442	8855
756	5449	8847
757	5456	8839
758	5461	8829
759	5468	8821
760	5475	8814
761	5484	8810
762	5491	8801
763	5498	8794
764	5504	8786
765	5511	8778
766	5519	8772
767	5526	8764
768	5533	8756
769	5540	8749
770	5547	8742
771	5555	8735
772	5561	8727
773	5568	8720
774	5575	8712
775	5582	8705
776	5588	8696
777	5596	8688
778	5602	8680
779	5609	8672
780	5616	8666
781	5623	8658
782	5630	8650
783	5637	8643
784	5643	8634
785	5649	8625
786	5656	8617
787	5663	8610
788	5670	8602
789	5677	8594
790	5684	8588
791	5691	8580
792	5699	8573
793	5705	8564
794	5711	8557
795	5719	8549
796	5726	8543
797	5734	8536
798	5739	8527
799	5746	8519
800	5753	8511
801	5759	8502
802	5765	8493
803	5772	8485
804	5779	8478
805	5785	8470
806	5792	8462
807	5799	8455
808	5806	8447
809	5814	8441
810	5820	8433
811	5827	8426
812	5834	8417
813	5840	8409
814	5847	8402
815	5854	8394
816	5861	8386
817	5867	8378
818	5874	8371
819	5882	8363
820	5888	8355
821	5894	8347
822	5900	8338
823	5907	8331
824	5914	8323
825	5921	8316
826	5930	8311
827	5937	8304
828	5943	8295
829	5950	8287
830	5955	8278
831	5963	8271
832	5969	8262
833	5977	8256
834	5984	8249
835	5991	8241
836	5997	8233
837	6006	8228
838	6012	8219
839	6018	8210
840	6025	8204
841	6032	8196
842	6038	8187
843	6044	8178
844	6051	8170
845	6058	8163
846	6064	8154
847	6070	8145
848	6078	8140
849	6084	8131
850	6092	8125
851	6098	8116
852	6106	8110
853	6113	8103
854	6119	8094
855	6125	8085
856	6131	8077
857	6138	8070
858	6145	8062
859	6151	8053
860	6159	8047
861	6164	8038
862	6171	8030
863	6177	8022
864	6185	8016
865	6192	8008
866	6199	8001
867	6206	7994
868	6212	7985
869	6219	7977
870	6226	7971
871	6233	7962
872	6239	7954
873	6246	7946
874	6253	7940
875	6259	7931
876	6265	7923
877	6273	7917
878	6281	7910
879	6288	7903
880	6294	7895
881	6301	7887
882	6308	7880
883	6315	7872
884	6321	7864
885	6328	7856
886	6335	7849
887	6340	7840
888	6347	7832
889	6355	7826
890	6361	7818
891	6367	7809
892	6374	7801
893	6381	7794
894	6388	7787
895	6395	7780
896	6403	7773
897	6410	7766
898	6417	7759
899	6424	7752
900	6431	7745
901	6440	7739
902	6446	7731
903	6452	7723
904	6459	7715
905	6466	7707
906	6473	7700
907	6481	7695
908	6492	7692
909	6500	7686
910	6507	7678
911	6513	7670
912	6519	7662
913	6526	7654
914	6534	7648
915	6542	7642
916	6550	7635
917	6556	7627
918	6563	7619
919	6569	7612
920	6575	7603
921	6583	7597
922	6590	7590
923	6597	7582
924	6603	7574
925	6608	7565
926	6615	7557
927	6621	7549
928	6628	7541
929	6635	7534
930	6642	7527
931	6650	7520
932	6656	7512
933	6662	7504
934	6670	7497
935	6677	7490
936	6684	7483
937	6690	7475
938	6697	7467
939	6703	7459
940	6710	7451
941	6716	7443
942	6723	7436
943	6730	7429
944	6736	7421
945	6743	7413
946	6750	7405
947	6758	7399
948	6765	7392
949	6772	7385
950	6779	7378
951	6787	7372
952	6795	7365
953	6801	7357
954	6808	7350
955	6815	7343
956	6822	7335
957	6829	7328
958	6835	7320
959	6842	7312
960	6849	7305
961	6855	7297
962	6861	7289
963	6868	7281
964	6874	7273
965	6882	7266
966	6890	7260
967	6897	7253
968	6903	7245
969	6911	7239
970	6918	7231
971	6924	7223
972	6931	7216
973	6938	7209
974	6944	7201
975	6949	7191
976	6956	7184
977	6963	7177
978	6969	7168
979	6975	7160
980	6982	7153
981	6990	7147
982	6998	7140
983	7004	7132
984	7010	7124
985	7017	7117
986	7024	7109
987	7030	7101
988	7035	7092
989	7043	7085
990	7050	7079
991	7057	7071
992	7064	7064
993	7070	7056
994	7077	7049
995	7084	7041
996	7092	7035
997	7098	7027
998	7104	7018
999	7111	7012
1000	7118	7004
1001	7126	6998
1002	7132	6989
1003	7139	6982
1004	7147	6976
1005	7153	6969
1006	7160	6961
1007	7166	6952
1008	7173	6945
1009	7180	6938
1010	7186	6930
1011	7194	6924
1012	7202	6918
1013	7208	6910
1014	7215	6902
1015	7221	6894
1016	7229	6887
1017	7235	6880
1018	7242	6873
1019	7248	6864
1020	7253	6855
1021	7259	6847
1022	7266	6840
1023	7273	6833
1024	7280	6826
1025	7288	6820
1026	7295	6812
1027	7301	6803
1028	7307	6796
1029	7313	6787
1030	7320	6780
1031	7324	6771
1032	7331	6763
1033	7340	6758
1034	7345	6749
1035	7352	6742
1036	7359	6734
1037	7366	6728
1038	7374	6721
1039	7380	6713
1040	7387	6706
1041	7395	6699
1042	7402	6693
1043	7408	6685
1044	7415	6677
1045	7423	6671
1046	7430	6663
1047	7437	6656
1048	7443	6648
1049	7450	6641
1050	7457	6634
1051	7465	6627
1052	7472	6620
1053	7478	6612
1054	7486	6606
1055	7493	6599
1056	7499	6591
1057	7506	6583
1058	7513	6577
1059	7520	6569
1060	7527	6562
1061	7536	6556
1062	7542	6549
1063	7549	6542
1064	7556	6535
1065	7563	6527
1066	7570	6520
1067	7576	6512
1068	7582	6504
1069	7589	6497
1070	7598	6491
1071	7604	6483
1072	7611	6476
1073	7619	6470
1074	7626	6462
1075	7632	6454
1076	7638	6447
1077	7645	6440
1078	7652	6432
1079	7659	6425
1080	7666	6418
1081	7672	6410
1082	7679	6402
1083	7686	6396
1084	7693	6388
1085	7700	6381
1086	7707	6374
1087	7713	6366
1088	7719	6358
1089	7724	6349
1090	7732	6343
1091	7739	6336
1092	7745	6328
1093	7753	6322
1094	7761	6315
1095	7768	6308
1096	7775	6301
1097	7782	6293
1098	7790	6287
1099	7797	6280
1100	7804	6272
1101	7810	6265
1102	7816	6257
1103	7824	6251
1104	7831	6244
1105	7838	6237
1106	7845	6229
1107	7851	6221
1108	7858	6214
1109	7866	6207
1110	7871	6199
1111	7877	6191
1112	7885	6185
1113	7892	6178
1114	7899	6170
1115	7905	6162
1116	7913	6156
1117	7919	6148
1118	7926	6141
1119	7932	6133
1120	7938	6125
1121	7945	6118
1122	7951	6110
1123	7958	6103
1124	7965	6096
1125	7971	6088
1126	7978	6081
1127	7984	6073
1128	7990	6065
1129	7997	6058
1130	8004	6051
1131	8011	6044
1132	8018	6037
1133	8024	6029
1134	8031	6021
1135	8038	6014
1136	8045	6007
1137	8052	6000
1138	8060	5994
1139	8066	5986
1140	8071	5977
1141	8078	5970
1142	8085	5963
1143	8093	5956
1144	8099	5949
1145	8106	5942
1146	8113	5935
1147	8121	5928
1148	8128	5921
1149	8136	5914
1150	8143	5907
1151	8149	5900
1152	8155	5891
1153	8161	5884
1154	8168	5877
1155	8176	5870
1156	8183	5863
1157	8189	5856
1158	8196	5848
1159	8202	5840
1160	8210	5834
1161	8217	5827
1162	8224	5819
1163	8230	5812
1164	8237	5805
1165	8244	5798
1166	8251	5790
1167	8258	5783
1168	8263	5775
1169	8270	5768
1170	8277	5761
1171	8284	5753
1172	8290	5746
1173	8298	5739
1174	8305	5732
1175	8311	5725
1176	8318	5717
1177	8326	5710
1178	8333	5704
1179	8342	5698
1180	8350	5691
1181	8356	5684
1182	8362	5676
1183	8368	5668
1184	8375	5661
1185	8383	5654
1186	8388	5646
1187	8395	5639
1188	8402	5632
1189	8410	5626
1190	8417	5618
1191	8424	5611
1192	8440	5610
1193	8447	5603
1194	8454	5596
1195	8461	5589
1196	8467	5581
1197	8474	5573
1198	8480	5566
1199	8487	5559
1200	8494	5552
1201	8500	5544
1202	8506	5536
1203	8512	5528
1204	8519	5521
1205	8525	5514
1206	8533	5507
1207	8540	5500
1208	8546	5492
1209	8554	5486
1210	8562	5479
1211	8569	5472
1212	8576	5465
1213	8585	5459
1214	8592	5452
1215	8599	5445
1216	8606	5438
1217	8615	5432
1218	8623	5425
1219	8629	5418
1220	8636	5411
1221	8643	5404
1222	8651	5397
1223	8658	5390
1224	8665	5383
1225	8672	5376
1226	8679	5369
1227	8687	5362
1228	8694	5355
1229	8701	5348
1230	8708	5341
1231	8715	5334
1232	8721	5326
1233	8728	5319
1234	8736	5312
1235	8742	5304
1236	8747	5296
1237	8754	5289
1238	8763	5283
1239	8770	5276
1240	8779	5270
1241	8791	5266
1242	8800	5260
1243	8807	5253
1244	8817	5247
1245	8824	5241
1246	8830	5233
1247	8838	5226
1248	8846	5219
1249	8852	5212
1250	8859	5205
1251	8866	5198
1252	8873	5190
1253	8880	5184
1254	8887	5176
1255	8894	5169
1256	8902	5162
1257	8908	5155
1258	8915	5148
1259	8921	5140
1260	8927	5132
1261	8934	5125
1262	8941	5118
1263	8947	5110
1264	8954	5103
1265	8961	5096
1266	8968	5089
1267	8977	5083
1268	8984	5076
1269	8990	5068
1270	8998	5061
1271	9035	5072
1272	9060	5074
1273	9074	5071
1274	9086	5067
1275	9098	5062
1276	9106	5056
1277	9114	5049
1278	9122	5042
1279	9130	5036
1280	9138	5029
1281	9146	5022
1282	9155	5016
1283	9163	5009
1284	9170	5002
1285	9178	4995
1286	9185	4989
1287	9193	4982
1288	9200	4975
1289	9208	4968
1290	9215	4960
1291	9222	4954
1292	9231	4947
1293	9239	4940
1294	9246	4933
1295	9253	4926
1296	9260	4919
1297	9267	4912
1298	9274	4905
1299	9281	4897
1300	9288	4890
1301	9296	4883
1302	9303	4876
1303	9311	4869
1304	9318	4862
1305	9325	4855
1306	9333	4848
1307	9340	4841
1308	9348	4834
1309	9355	4827
1310	9363	4820
1311	9370	4813
1312	9377	4806
1313	9383	4798
1314	9390	4791
1315	9396	4784
1316	9402	4776
1317	9409	4769
1318	9416	4761
1319	9422	4754
1320	9430	4747
1321	9436	4739
1322	9442	4731
1323	9449	4724
1324	9455	4717
1325	9461	4709
1326	9468	4702
1327	9475	4694
1328	9481	4687
1329	9487	4679
1330	9493	4671
1331	9500	4664
1332	9505	4656
1333	9513	4649
1334	9520	4642
1335	9526	4635
1336	9532	4627
1337	9538	4619
1338	9544	4611
1339	9552	4605
1340	9559	4597
1341	9565	4590
1342	9572	4583
1343	9579	4575
1344	9586	4568
1345	9593	4561
1346	9600	4554
1347	9607	4547
1348	9613	4539
1349	9619	4531
1350	9625	4524
1351	9632	4517
1352	9639	4509
1353	9647	4502
1354	9653	4495
1355	9660	4488
1356	9666	4480
1357	9673	4473
1358	9679	4465
1359	9686	4458
1360	9694	4451
1361	9699	4444
1362	9706	4436
1363	9713	4429
1364	9721	4422
1365	9728	4415
1366	9735	4408
1367	9742	4401
1368	9750	4394
1369	9758	4387
1370	9765	4380
1371	9772	4373
1372	9779	4366
1373	9787	4359
1374	9793	4351
1375	9800	4344
1376	9809	4338
1377	9816	4331
1378	9823	4323
1379	9830	4316
1380	9836	4309
1381	9842	4301
1382	9849	4294
1383	9856	4287
1384	9863	4280
1385	9871	4273
1386	9878	4266
1387	9885	4259
1388	9892	4251
1389	9900	4245
1390	9907	4238
1391	9915	4231
1392	9924	4224
1393	9933	4218
1394	9940	4211
1395	9947	4204
